iter	Logloss
0	0.6895891762
1	0.6862965129
2	0.6829865835
3	0.6795840809
4	0.6767835106
5	0.6735901215
6	0.670247173
7	0.666485189
8	0.6631493617
9	0.6600359078
10	0.6575095746
11	0.654298961
12	0.651610096
13	0.6480423243
14	0.6450815203
15	0.642742164
16	0.6396239887
17	0.6369525461
18	0.6341118775
19	0.6312664918
20	0.6286561033
21	0.6261590502
22	0.623427557
23	0.6213541045
24	0.6188605774
25	0.616039673
26	0.6138214063
27	0.6115379845
28	0.6090993378
29	0.6063020307
30	0.6039411018
31	0.6021458198
32	0.6001391751
33	0.5978687888
34	0.5954909041
35	0.5935324297
36	0.5916891386
37	0.5894181498
38	0.5875491814
39	0.5852550514
40	0.5832191859
41	0.5814249288
42	0.5795576115
43	0.5774593295
44	0.5760139032
45	0.5741427412
46	0.572030316
47	0.5702249667
48	0.568157534
49	0.5663447852
50	0.5643628115
51	0.5629561856
52	0.5610494008
53	0.5595072713
54	0.5577965825
55	0.5560458924
56	0.554171419
57	0.5527043586
58	0.5510458814
59	0.549366873
60	0.5474679344
61	0.5459780868
62	0.544431811
63	0.5428593519
64	0.5410954924
65	0.5394630226
66	0.5379953896
67	0.5365059853
68	0.5350507383
69	0.5339439036
70	0.5330168218
71	0.5320889864
72	0.530716355
73	0.5292224735
74	0.5279495067
75	0.5268867078
76	0.5255258436
77	0.524205185
78	0.5231021029
79	0.5219399948
80	0.5204662134
81	0.5193283035
82	0.5179236579
83	0.5168955701
84	0.5159324615
85	0.5148306867
86	0.5138995002
87	0.5126857927
88	0.5118317455
89	0.511561425
90	0.5104428116
91	0.5094315417
92	0.5087829676
93	0.507812482
94	0.5067030361
95	0.5056450819
96	0.5042726555
97	0.5032519206
98	0.5021952322
99	0.5012615836
100	0.5003537579
101	0.4994729003
102	0.4987219016
103	0.4979363078
104	0.4969605086
105	0.4959787223
106	0.4947242387
107	0.4938436135
108	0.4928451631
109	0.4920726761
110	0.491224301
111	0.4903813816
112	0.4893420634
113	0.4884782063
114	0.487184088
115	0.486321378
116	0.4854712741
117	0.4849498332
118	0.4841255918
119	0.483354215
120	0.4824162505
121	0.4818551749
122	0.4809179776
123	0.4800503629
124	0.4791024895
125	0.4782877281
126	0.4775852012
127	0.4766861036
128	0.4759514661
129	0.4752001547
130	0.4743402616
131	0.4737261639
132	0.4732757493
133	0.4728815437
134	0.4724028101
135	0.4716627098
136	0.4710430522
137	0.4701482738
138	0.4695311483
139	0.4687373323
140	0.4678877964
141	0.467170348
142	0.4667933575
143	0.4659663559
144	0.4653229506
145	0.4647741437
146	0.4641304344
147	0.4632803046
148	0.4626262332
149	0.4618685943
150	0.4614030712
151	0.4607115949
152	0.4600688717
153	0.4594292739
154	0.4588457084
155	0.4581234223
156	0.4575125617
157	0.4569575254
158	0.4564218548
159	0.4559335521
160	0.4552357773
161	0.4545321023
162	0.4544364854
163	0.453735408
164	0.4530999398
165	0.4524096321
166	0.4517886575
167	0.4510828411
168	0.4505895586
169	0.4500820282
170	0.4495598831
171	0.4491971196
172	0.4485996552
173	0.4477495011
174	0.4472479729
175	0.4464975382
176	0.4459148351
177	0.445242569
178	0.4450388505
179	0.4444668103
180	0.4440052479
181	0.4435845195
182	0.4430285949
183	0.44243907
184	0.4417830463
185	0.4414375856
186	0.4408248075
187	0.440264466
188	0.4398424503
189	0.4396824323
190	0.4389964487
191	0.4384930922
192	0.4380589612
193	0.4375012673
194	0.4370513171
195	0.4366960797
196	0.4362456702
197	0.4359430728
198	0.4355105209
199	0.4350445925
200	0.4344060511
201	0.434022133
202	0.4334122432
203	0.4329574973
204	0.4325208286
205	0.4319847403
206	0.4313962737
207	0.4309664169
208	0.4304161158
209	0.4297482443
210	0.42924478
211	0.4286437603
212	0.428233808
213	0.4277676238
214	0.4273126104
215	0.4269165445
216	0.4263525552
217	0.4259445132
218	0.425583085
219	0.4251956139
220	0.4247759278
221	0.4243470968
222	0.4238868942
223	0.4236397724
224	0.4232337778
225	0.4230344158
226	0.4224861163
227	0.4221321777
228	0.421664163
229	0.4211083432
230	0.4205725
231	0.4201070973
232	0.4198997028
233	0.4194705256
234	0.4191020334
235	0.4186220371
236	0.4181317427
237	0.417463075
238	0.417073053
239	0.4166126553
240	0.4160533172
241	0.4155863633
242	0.4152142451
243	0.4148473292
244	0.4146007153
245	0.4139765448
246	0.4135354473
247	0.4131831849
248	0.4126803061
249	0.4124694264
250	0.4121495866
251	0.4118526656
252	0.4115198525
253	0.4111074463
254	0.4108459957
255	0.4103038569
256	0.4097728168
257	0.4097006374
258	0.4093066012
259	0.4087798472
260	0.4084994422
261	0.4080272091
262	0.4076591399
263	0.4073726564
264	0.4068960008
265	0.4065437999
266	0.4061695058
267	0.4059089674
268	0.4054733676
269	0.4049909962
270	0.4046510135
271	0.4043370542
272	0.4040034763
273	0.4035269071
274	0.4034854115
275	0.4030914674
276	0.4029579636
277	0.4027750512
278	0.402360532
279	0.4020059111
280	0.4014099038
281	0.4011173226
282	0.4007621107
283	0.4004491443
284	0.4001094802
285	0.3998133683
286	0.399275259
287	0.3986721016
288	0.3983250516
289	0.3979708889
290	0.3973936159
291	0.3968456781
292	0.3964771458
293	0.3960635132
294	0.3955570366
295	0.3952080055
296	0.394841367
297	0.3945871212
298	0.3942336917
299	0.3937543961
300	0.3932762706
301	0.392894052
302	0.3926426065
303	0.3921434189
304	0.3919685061
305	0.3915975067
306	0.3913143954
307	0.3910886147
308	0.3907036297
309	0.390670975
310	0.3904866268
311	0.3901734178
312	0.3899365184
313	0.3894407289
314	0.3891477784
315	0.3889338503
316	0.3883932542
317	0.3879469484
318	0.3875955199
319	0.3873665635
320	0.3870459362
321	0.3865494523
322	0.3860594277
323	0.385805324
324	0.3856495128
325	0.3855660861
326	0.3852858722
327	0.3850119994
328	0.3845998765
329	0.3842499304
330	0.3840657719
331	0.3839656907
332	0.3834951578
333	0.3831138602
334	0.3826385282
335	0.3824154238
336	0.382063825
337	0.3818627294
338	0.3815360362
339	0.3814768577
340	0.3811950888
341	0.3808112629
342	0.3804994976
343	0.3801737949
344	0.3798989349
345	0.3797296432
346	0.3797041617
347	0.3791938828
348	0.3789598662
349	0.3786351568
350	0.3783727587
351	0.3781275852
352	0.3777087047
353	0.3775467693
354	0.3772797916
355	0.3771324138
356	0.3767824418
357	0.3765263378
358	0.3763080108
359	0.3758481484
360	0.3755620011
361	0.3755490071
362	0.3752025132
363	0.3748525663
364	0.3745579428
365	0.3743421682
366	0.3738998382
367	0.3735202328
368	0.3732272366
369	0.3730754095
370	0.372606858
371	0.3722808194
372	0.3720013919
373	0.3716023377
374	0.3712559729
375	0.3709209918
376	0.3706527995
377	0.3704288092
378	0.3703154969
379	0.3699468485
380	0.3697390411
381	0.3691762478
382	0.3688895099
383	0.3685164902
384	0.3683503183
385	0.3680691653
386	0.3677795538
387	0.3674398393
388	0.3670394553
389	0.3667246897
390	0.3665201862
391	0.3665145151
392	0.3662617992
393	0.3659597143
394	0.3657620027
395	0.3654254788
396	0.3652236096
397	0.3650148404
398	0.3646910897
399	0.3644085378
400	0.3642039576
401	0.3639676767
402	0.3637214607
403	0.3633613463
404	0.3630628373
405	0.3627218701
406	0.3624876277
407	0.3622773195
408	0.3618399731
409	0.3615274384
410	0.3611192179
411	0.3609282015
412	0.3606151304
413	0.3603784788
414	0.3602472897
415	0.3601139136
416	0.3598451547
417	0.3596449774
418	0.3595203026
419	0.3592668629
420	0.3590112999
421	0.3588671923
422	0.3586528453
423	0.358194918
424	0.357933512
425	0.3577293947
426	0.3576090866
427	0.3572828171
428	0.3571329854
429	0.3569622612
430	0.3565970338
431	0.356408421
432	0.3560660149
433	0.3557158276
434	0.355340852
435	0.3552141286
436	0.3548587761
437	0.3546441427
438	0.3544000769
439	0.3539711213
440	0.353624758
441	0.3536151955
442	0.3533581406
443	0.3531731844
444	0.3528782328
445	0.3525935163
446	0.3522305722
447	0.3521018226
448	0.3518680885
449	0.3516196553
450	0.3514836031
451	0.351298465
452	0.351176457
453	0.3508809973
454	0.3504975145
455	0.3502544863
456	0.3499908075
457	0.3495016419
458	0.3492983537
459	0.3490717838
460	0.3487398489
461	0.348540555
462	0.3482409787
463	0.3480235112
464	0.3477557496
465	0.3474697783
466	0.347300013
467	0.3470198488
468	0.3466847571
469	0.3463804161
470	0.3461477854
471	0.3458210356
472	0.3455350865
473	0.3453170446
474	0.3451800898
475	0.3450064583
476	0.3447183565
477	0.344388043
478	0.3442286699
479	0.3439791194
480	0.3437260487
481	0.3435342103
482	0.3432785894
483	0.3429551832
484	0.3426900746
485	0.3422337996
486	0.3420376181
487	0.3418823212
488	0.341722119
489	0.3415537191
490	0.341276664
491	0.3409861886
492	0.3406729174
493	0.3404534322
494	0.3403009726
495	0.340167546
496	0.3398066046
497	0.3395318592
498	0.3392221521
499	0.3390956613
500	0.3388262609
501	0.338685138
502	0.3384706276
503	0.3383559564
504	0.3382363881
505	0.3379450928
506	0.3377372628
507	0.3374151547
508	0.3372494948
509	0.3371879047
510	0.3368669889
511	0.3364697913
512	0.3361437801
513	0.335955478
514	0.3357127436
515	0.3356019475
516	0.3354409932
517	0.3352744138
518	0.3351044132
519	0.3350246432
520	0.3348683798
521	0.334614071
522	0.3343459701
523	0.3341406344
524	0.3339388948
525	0.3336844573
526	0.333472371
527	0.3331235272
528	0.3328841627
529	0.3327305181
530	0.3326738739
531	0.3326055924
532	0.3323721194
533	0.332066775
534	0.3318910002
535	0.3316457147
536	0.3313836973
537	0.3312501198
538	0.3309891211
539	0.3307525109
540	0.3306607711
541	0.3304704183
542	0.3304331628
543	0.3302933051
544	0.3299996831
545	0.3296501343
546	0.3294203572
547	0.3291429692
548	0.3290052615
549	0.3287475377
550	0.3285294205
551	0.3283317812
552	0.3281501546
553	0.3279914707
554	0.3278021924
555	0.3275851609
556	0.3274153223
557	0.3271603464
558	0.3269188134
559	0.3267518347
560	0.3265572918
561	0.3263700659
562	0.3261531964
563	0.3258981229
564	0.3257686035
565	0.3256743065
