iter	Passed	Remaining
0	5	5574
1	8	4203
2	11	3976
3	15	3834
4	18	3750
5	22	3765
6	26	3721
7	29	3682
8	34	3749
9	38	3768
10	40	3677
11	44	3673
12	47	3600
13	51	3652
14	55	3631
15	57	3542
16	61	3543
17	64	3542
18	68	3546
19	72	3544
20	75	3540
21	79	3547
22	83	3564
23	86	3520
24	90	3514
25	93	3509
26	96	3489
27	100	3491
28	104	3488
29	107	3485
30	112	3517
31	114	3463
32	118	3459
33	121	3454
34	126	3478
35	129	3474
36	132	3441
37	135	3438
38	139	3434
39	143	3448
40	147	3445
41	150	3439
42	154	3437
43	158	3442
44	160	3408
45	164	3404
46	167	3402
47	171	3399
48	175	3412
49	179	3410
50	183	3405
51	186	3402
52	190	3400
53	193	3395
54	197	3391
55	200	3387
56	205	3396
57	208	3380
58	211	3375
59	215	3369
60	218	3368
61	223	3378
62	227	3376
63	230	3378
64	235	3382
65	239	3386
66	243	3393
67	247	3390
68	251	3390
69	254	3385
70	257	3364
71	259	3343
72	262	3337
73	266	3338
74	270	3339
75	273	3327
76	277	3325
77	281	3323
78	285	3326
79	289	3323
80	292	3321
81	296	3318
82	300	3322
83	304	3319
84	308	3316
85	311	3313
86	315	3312
87	319	3309
88	323	3310
89	325	3289
90	328	3286
91	332	3283
92	336	3281
93	340	3279
94	343	3276
95	348	3280
96	352	3277
97	355	3275
98	359	3272
99	363	3274
100	367	3272
101	371	3269
102	375	3266
103	379	3265
104	382	3262
105	386	3259
106	390	3255
107	394	3258
108	398	3255
109	402	3254
110	406	3252
111	410	3253
112	414	3255
113	418	3252
114	422	3251
115	427	3256
116	431	3254
117	434	3248
118	438	3244
119	442	3247
120	446	3243
121	450	3240
122	454	3237
123	458	3242
124	462	3238
125	466	3235
126	470	3235
127	474	3233
128	478	3230
129	482	3227
130	486	3226
131	490	3224
132	494	3222
133	497	3217
134	502	3217
135	505	3213
136	509	3210
137	513	3205
138	516	3201
139	520	3199
140	524	3194
141	528	3193
142	532	3189
143	537	3195
144	541	3193
145	545	3189
146	549	3186
147	553	3184
148	556	3180
149	560	3178
150	564	3175
151	568	3171
152	572	3168
153	576	3164
154	579	3160
155	583	3158
156	587	3154
157	591	3151
158	594	3146
159	598	3144
160	602	3141
161	606	3136
162	608	3125
163	612	3123
164	616	3119
165	619	3114
166	623	3111
167	627	3108
168	631	3105
169	635	3100
170	638	3096
171	642	3092
172	646	3089
